wkt,id,nombre,comuna,objeto
null,1,Comisaría Comunal 1,1,Zona de Comisaría Comunal
null,4,Comisaría Comunal 4,4,Zona de Comisaría Comunal
null,11,Comisaría Comunal 11,11,Zona de Comisaría Comunal
null,15,Comisaría Comunal 15,15,Zona de Comisaría Comunal
null,12,Comisaría Comunal 12,12,Zona de Comisaría Comunal
null,6,Comisaría Comunal 6,6,Zona de Comisaría Comunal
null,7,Comisaría Comunal 7,7,Zona de Comisaría Comunal
null,10,Comisaría Comunal 10,10,Zona de Comisaría Comunal
null,5,Comisaría Comunal 5,5,Zona de Comisaría Comunal
null,13,Comisaría Comunal 13,13,Zona de Comisaría Comunal
null,14,Comisaría Comunal 14,14,Zona de Comisaría Comunal
null,9,Comisaría Comunal 9,9,Zona de Comisaría Comunal
null,2,Comisaría Comunal 2,2,Zona de Comisaría Comunal
null,3,Comisaría Comunal 3,3,Zona de Comisaría Comunal
null,8,Comisaría Comunal 8,8,Zona de Comisaría Comunal