BARRIO,POBLACION,COMUNA,AREA
AGRONOMIA,13912,15,2122169.34212
ALMAGRO,131699,5,4050752.24524
BALVANERA,138926,3,4342280.26804
BARRACAS,89452,4,7953453.43143
BELGRANO,126267,13,7999239.81384
BOCA,45113,4,5036240.45441
BOEDO,47306,5,2609850.87921
CABALLITO,176076,6,6851028.913569999
CHACARITA,27761,15,3115707.10627
COGHLAN,18604,12,1279951.37256
COLEGIALES,52551,13,2289774.10428
CONSTITUCION,44107,1,2101994.99813
FLORES,164310,7,8590784.13129
FLORESTA,37575,10,2320640.73551
LINIERS,44132,9,4374418.73677
MATADEROS,64436,9,7398178.84035
MONSERRAT,39914,1,2198621.94089
MONTE CASTRO,33623,10,2627481.32508
NUEVA POMPEYA,42695,4,4951510.87427
NUÃ‘EZ,51949,13,4424199.26509
PALERMO,226534,14,15845871.288
PARQUE AVELLANEDA,53229,9,4732708.20931
PARQUE CHACABUCO,56281,7,3832116.69922
PARQUE CHAS,17489,15,1385411.51374
PARQUE PATRICIOS,40985,4,3743439.99645
PATERNAL,19717,15,2229829.03363
PUERTO MADERO,6726,1,5040970.88514
RECOLETA,157932,2,6317264.56056
RETIRO,65413,1,4512710.90703
SAAVEDRA,50295,12,5538676.83282
SAN CRISTOBAL,48611,3,2043711.12166
SAN NICOLAS,29273,1,2289007.58259
SAN TELMO,20453,1,1232270.15874
VELEZ SARSFIELD,35081,10,2400518.32602
VERSALLES,13822,10,1406833.5958
VILLA CRESPO,81959,15,3615977.55634
VILLA DEL PARQUE,55273,11,3399595.64148
VILLA DEVOTO,66521,11,6404480.85371
VILLA GRAL. MITRE,34713,11,2162275.11535
VILLA LUGANO,126374,8,9296142.3614
VILLA LURO,32502,10,2566936.87251
VILLA ORTUZAR,21736,15,1853802.05203
VILLA PUEYRREDON,39654,12,3303239.50936
VILLA REAL,13419,10,1334146.08283
VILLA RIACHUELO,14084,8,4232595.92479
VILLA SANTA RITA,33325,11,2153690.81329
VILLA SOLDATI,46779,8,8688163.55828
VILLA URQUIZA,91563,12,5449058.92285
