nombre,tipo,barrio,fecha_fin_inicial
"Parque Olí­mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.",Hidráulica e Infraestructura,VILLA SOLDATI,2018-04-16
Parque Olí­mpico: Infraestructura eléctrica.,Hidráulica e Infraestructura,VILLA SOLDATI,2018-05-30
Ramal Austria I,Hidráulica e Infraestructura,RECOLETA,2018-01-30
Ramal Caaguazú -Ampliación Red Pluvial VII,Hidráulica e Infraestructura,LINIERS,2018-04-30
Ramal Escalada -Ampliación Red Pluvial VI,Hidráulica e Infraestructura,VILLA RIACHUELO,2017-12-10
Red Pluvial IV: Ampliación,Hidráulica e Infraestructura,COGHLAN,2016-10-31
Arroyo Vega - Mejora de la Eficiencia Hidraulica,Hidráulica e Infraestructura,BELGRANO,2016-09-30
Camino De Sirga II,Hidráulica e Infraestructura,BARRACAS,2017-05-31
Estación de Bombeo Nş5,Hidráulica e Infraestructura,BARRACAS,2017-06-15
Camino De Sirga III,Hidráulica e Infraestructura,BARRACAS,2021-01-29
Barrio Papa Francisco: Infraestructura 1,Hidráulica e Infraestructura,VILLA LUGANO,2018-07-31
Barrio Papa Francisco: Infraestructura 2,Hidráulica e Infraestructura,VILLA LUGANO,2018-11-30
Barrio Los Piletones: Abastecimiento De Agua Potable Manzanas 9 Y 10 - Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2017-05-16
Barrio Los Piletones: Nexo Conexión De Red De Agua Potable ( Lacarra) Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2017-03-16
Barrio Rivera Iguazú: Ribera Iguazú,Hidráulica e Infraestructura,NUEVA POMPEYA,2018-10-29
Acumar: Alvarado - Infraestructura,Hidráulica e Infraestructura,BARRACAS,2020-03-31
"Distrito Tecnológico: Retiro De Sistema De Almacenamiento Subterráneo De Hidrocarburos (Sash), Tanques, Cańerí­as Y Acceso A Predio Usal",Hidráulica E Infraestructura,PARQUE PATRICIOS,2015-08-09
Barrio Fraga: Demoliciones,Hidráulica e Infraestructura,CHACARITA,2018-01-15
Barrio Fraga: Infraestructura,Hidráulica e Infraestructura,CHACARITA,2020-03-31
Lacarra Y Av. Cruz: Adecuación De Red Interna Cloacal Conjunto Habitacional 180 Viviendas,Hidráulica E Infraestructura,VILLA SOLDATI,2016-09-04
Barrio Pirelli: Reparación De Espacios Comunes En Ch 108 Viviendas - BÂ° Pirelli,Hidráulica E Infraestructura,VILLA LUGANO,2016-04-13
"Barrio Los Piletones: Demolición De Viviendas Para Apertura Y Liberación De Espacios, Manzana Nş 9 Del Barrio Los Piletones",Hidráulica E Infraestructura,VILLA SOLDATI,2016-01-22
Barrio Los Piletones: Demolición De Viviendas Para Apertura Y Liberación De Espacios En La Manzana Nş 10 Del Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2016-01-22
Barrio Los Piletones: Demolición De Vivienda Para Materialización De Ochava En La Manzana 5a - Casa 1732/1- Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2016-08-25
Barrio Los Piletones: Demolición De Viviendas Para La Liberación De Espacios Manzana Nş 10,Hidráulica E Infraestructura,VILLA SOLDATI,2016-06-14
Barrio Los Piletones: Mejoramiento Del Sector Liberado Sobre El Lago Soldati Manzana NÂ° 9,Hidráulica E Infraestructura,VILLA SOLDATI,2016-08-18
Barrio 26 De Junio: Conexiones Eléctricas En Complejo Habitacional 33 Viviendas,Hidráulica E Infraestructura,VILLA SOLDATI,2016-06-09
Barrio 26 De Junio: Mejoras De Tendido Cloacal En El Complejo Habitacional 33 Viviendas-Riestra Y Portela,Hidráulica E Infraestructura,VILLA SOLDATI,2016-08-09
Barrio Los Piletones: Instalación De Cańerí­a Para La Provisión Del Servicio De Agua Potable Al BÂ° Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2016-03-21
Barrio Los Piletones: Ejecución De Calle De Enlace Entre El Complejo Habitacional Los Piletones Y Av. Asturias,Hidráulica E Infraestructura,VILLA SOLDATI,2017-01-23
Barrio Los Piletones: Obras Complementarias De Infraestructura Y Puesta En Régimen En Barrio Piletones Y Barrio Ramon Carrillo,Hidráulica E Infraestructura,VILLA SOLDATI,2017-02-26
"Obras Comuna 8: Retiro De Autos Abandonados, Muebles Y Chatarra En Predio De Futura Apertura Sito En La Calle San Pedrito Entre 27 De Febrero Y Calle Cook",Hidráulica E Infraestructura,VILLA SOLDATI,2016-09-19
Barrio Los Piletones: Tendido Eléctrico - Gabinete De Tablero Y Alumbrado,Hidráulica E Infraestructura,VILLA SOLDATI,2016-09-10
Obras Comuna 8: Tendido De Alimentadores Eléctricos Oficinas Cbas - Edificio Cis,Hidráulica E Infraestructura,VILLA SOLDATI,2017-06-04
Ctc: Obras Complementarias De La Construcción De Un Acceso Provisorio Al Ctc - Traza Parcial Futura Rama 8,Hidráulica E Infraestructura,VILLA SOLDATI,2017-03-11
Ctc: Construcción De Un Acceso Provisorio Al Centro De Transferencia De Cargas-Traza Parcial Futura Rama 8-Elaboración De Proyecto Ejecutivo Y Pavimentación,Hidráulica E Infraestructura,VILLA SOLDATI,2017-04-24
Ctc: Modificación De La Intersección De La Av. 27 De Febrero Con La Calle Pergamino,Hidráulica E Infraestructura,VILLA SOLDATI,2016-12-10
Barrio Los Piletones: Pavimentación Con Concreto Asfáltico De Calle Vehicular Continuación Calle Plumerillo - BÂ° Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2017-03-04
Barrio 26 De Junio: Obras De Tendido De Agua Potable (Infraestructura) Complejo Habitacional 33 Viviendas,Hidráulica E Infraestructura,VILLA SOLDATI,2017-04-13
Barrio 20: Sector Consolidado - Red De Infraestructura,Hidráulica e Infraestructura,VILLA LUGANO,2019-12-20
Barrio 21 24: Infraestructura Manzana 12 Y 13,Hidráulica e Infraestructura,BARRACAS,2018-03-28
Barrio 21 24: Pasaje Daniel De La Sierra,Hidráulica e Infraestructura,BARRACAS,2018-10-19
Barrio 15: Eje Ferroviario,Hidráulica e Infraestructura,VILLA LUGANO,2018-08-31
Barrio 1 11 14: Eje Aliviador Varela,Hidráulica e Infraestructura,VILLA SOLDATI,2018-04-26
Barrio 1 11 14: Cloacas En Cancha Paraguayo,Hidráulica e Infraestructura,FLORES,2017-09-05
"Entorno Cildańez: Manzana C - Infraestructura Pluvial, Cloacal, Agua Corriente Y Veredas",Hidráulica e Infraestructura,PARQUE AVELLANEDA,2017-11-15
Barrio 1 11 14: Infraestructura De Servicios Y Solados En Pasajes De Manzana 28 Y 29 (Sector 1 Y 2),Hidráulica e Infraestructura,PARQUE CHACABUCO,2017-10-24
"Barrio 1 11 14: Infraestructura De Servicios Y Solados En Pasajes Y Pasillos De Manzana 1, 2 Y 3 (Sector 1 Y 2)",Hidráulica e Infraestructura,NUEVA POMPEYA,2017-12-28
"Entorno Cildańez: Pavimento, Veredas, Desagíźes Pluviales Y Alumbrado Público",Hidráulica E Infraestructura,PARQUE AVELLANEDA,2015-08-17
Barrio Los Piletones: Reparación De Cańerí­a De Impulsión Cloacal Y Ejecución De Cámara De Aquietamiento,Hidráulica E Infraestructura,VILLA SOLDATI,2015-10-12
Barrio Los Piletones: Mejoramiento Del Sector Liberado Sobre El Lago Soldati Manzana Nş 10,Hidráulica E Infraestructura,VILLA SOLDATI,2016-04-09
"Sistema hidrometeorológico integral de Observación, Vigilancia y Alerta",Hidráulica e Infraestructura,CHACARITA,2019-11-01
Paso Bajo Nivel Balbí­n: Aliviadores,Hidráulica e Infraestructura,SAAVEDRA,2018-04-30
Barrio Los Piletones: Electrificación 2ş Etapa â Conjunto Habitacional Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2017-10-07
Barrio Los Piletones: Puesta en Valor Pasillo y B.R. de Mz 9 y 10 â Sector lindero Lago Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2017-08-02
Barrio Los Piletones: Reparaciones En Las Redes De Agua Potable Y Colectoras Cloacales,Hidráulica E Infraestructura,VILLA SOLDATI,2017-12-17
"Barrio Los Piletones: Demoliciones Poligono ""A"" De Manzana 10 ",Hidráulica E Infraestructura,VILLA SOLDATI,2018-01-25
"Barrio Los Piletones: Demoliciones Poligono""B"" Y ""E"" De Manzana 10 ",Hidráulica E Infraestructura,VILLA SOLDATI,2018-01-10
"Barrio Los Piletones: Demoliciones Poligono ""C"" De Manzana 10 ",Hidráulica E Infraestructura,VILLA SOLDATI,2018-01-10
Barrio Los Piletones: Sendero 14 De Mayo,Hidráulica E Infraestructura,VILLA SOLDATI,2018-01-05
"Barrio Los Piletones: Demoliciones Poligono ""F"" De Manzana 10",Hidráulica E Infraestructura,VILLA SOLDATI,2018-01-10
Barrio Nueva Esperanza: Demolición  Vivienda Perilago,Hidráulica E Infraestructura,VILLA SOLDATI,2017-12-27
Barrio Los Piletones: Demoliciones Casa 52 Manzana 10 ,Hidráulica E Infraestructura,VILLA SOLDATI,2018-06-10
Arroyo Maldonado: Ramales secundarios grupo A,Hidráulica e Infraestructura,BELGRANO,
Barrio 31: Completamiento de la Infraestructura existente,Hidráulica e Infraestructura,RETIRO,2020-04-30
Barrio 31: Renovación de la infraestructura existente,Hidráulica e Infraestructura,RETIRO,2020-04-30
Ramal Austria II,Hidráulica e Infraestructura,RECOLETA,2018-01-31
Barrio 31: Infraestructura y espacio público Viviendas Containera,Hidráulica e Infraestructura,RETIRO,2018-08-31
Barrio 31: Perette Troncales,Hidráulica e Infraestructura,RETIRO,2019-11-30
Obra de Descarga,Hidráulica e Infraestructura,BELGRANO,2020-02-28
Túnel TBM (5.883 m),Hidráulica e Infraestructura,BELGRANO,2019-07-26
Túnel Pipe Jacking (2.396 m),Hidráulica e Infraestructura,BELGRANO,2019-06-22
Túnel natm ramal Elcano (441m),Hidráulica e Infraestructura,BELGRANO,2019-03-28
Túnel natm Victorica (68 m),Hidráulica e Infraestructura,BELGRANO,2020-02-28
Cámaras derivadoras,Hidráulica e Infraestructura,BELGRANO,2019-08-06
Eje radial,Hidráulica e Infraestructura,VILLA LUGANO,2019-02-15
Eje radial,Hidráulica e Infraestructura,VILLA LUGANO,2018-12-26
Mejoramiento de la eficiencia hidráulica del Emisario principal del Arroyo Medrano â Tramo de 2 Y 3 Celdas,Hidráulica e Infraestructura,SAAVEDRA,2020-05-30
Barrio Los Piletones: Demoliciones Casas 13/1 Y 13/2 Manzana 11,Hidráulica E Infraestructura,VILLA SOLDATI,2018-08-07
"Barrio Los Piletones: Demoliciones, Casas Nş 60-63-64-65, Manzana 10",Hidráulica E Infraestructura,VILLA SOLDATI,2018-12-29
Barrio Los Piletones: Demoliciones En Manzana 8,Hidráulica E Infraestructura,VILLA SOLDATI,2018-12-29
Barrio Los Piletones: Pluviales Calle Lacarra â Cloacales Mz. 10 Barrio Los Piletones â Cámara Aquietamiento Carrillo â Pluviales Nueva Esperanza ,Hidráulica E Infraestructura,VILLA SOLDATI,2018-12-13
"Barrio Los Piletones: Movimiento de suelos para Rap Sendero Mujeres Victoriosas , Complejo Habitacional Los Piletones",Hidráulica E Infraestructura,VILLA SOLDATI,2019-02-12
Barrio Los Piletones: Agua Piletones- Impulsión Carrillo,Hidráulica E Infraestructura,VILLA SOLDATI,2019-05-08
Barrio Los Piletones: Reductores De Velocidad Vial Y Refacción â Calles Del Complejo Habitacional Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2019-09-25
Barrio Los Piletones: Reductores De Velocidad Vial Y Refacción  â Calle Ana M. Janer y Mujeres Luchadoras â Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2019-10-11
Barrio Los Piletones: Reductores De Velocidad Vial Y Refacción  â Calle Lacarra â Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2019-09-22
Barrio Los Piletones: Reductores De Velocidad Vial Y Refacción  â Calle Plumerillo â Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2019-09-25
Villa Olí­mpica: Red de agua y cloacas,Hidráulica e Infraestructura,VILLA RIACHUELO,2017-11-01
Villa Olí­mpica: Infraestructura eléctrica,Hidráulica e Infraestructura,VILLA RIACHUELO,2018-01-03
Villa Olí­mpica: Estación reguladora y distribución de gas,Hidráulica e Infraestructura,VILLA SOLDATI,2017-06-30
Villa Olí­mpica: Red vial y pluvial,Hidráulica e Infraestructura,VILLA SOLDATI,2018-01-31
Cildańez II,Hidráulica E Infraestructura,VILLA SOLDATI,2022-03-01
Barrio Fraga: Infraestructura ejes principales,Hidráulica e Infraestructura,CHACARITA,2022-10-28
Barrio 31: EEPP BA,Hidráulica e Infraestructura,RETIRO,2022-12-30
Barrio 31: Baja tensión,Hidráulica e Infraestructura,RETIRO,2022-05-30
Barrio 31: Baja tensión ,Hidráulica e Infraestructura,RETIRO,2022-06-30
Barrio 31: Conexiones domiciliarias de agua,Hidráulica e Infraestructura,RETIRO,2022-03-07
Barrio 31: Conexiones domiciliarias de agua,Hidráulica e Infraestructura,RETIRO,2022-07-15
Barrio 31: Conexiones domiciliarias de agua,Hidráulica e Infraestructura,RETIRO,2022-07-15
"Generacio?n de Aperturas de Calles y Nueva Calle N° 14, Barrio 31 Carlos Mu?gica",Hidráulica e Infraestructura/ Espacio Público,RETIRO,2022-02-28
Tanques de Reserva - Parque Roca Sector C,Hidráulica E Infraestructura,VILLA SOLDATI,2023-08-26
Reparación cerco perimetral Villa Olímpica,Hidráulica E Infraestructura,VILLA LUGANO,2020-01-31
Mantenimiento de Redes cloacales - Barrio Los Piletones (enero a marzo),Hidráulica E Infraestructura,VILLA SOLDATI,2020-03-31
Mantenimiento de Redes cloacales - Barrio Los Piletones (abril a junio),Hidráulica E Infraestructura,VILLA SOLDATI,2020-06-30
Reparaciones Barrio Piletones - abril 2020,Hidráulica E Infraestructura,VILLA SOLDATI,2020-04-30
Reparaciones Barrio Piletones - relevamiento mayo y junio 20,Hidráulica E Infraestructura,VILLA SOLDATI,2020-06-30
Conexiones de Agua - Los Piletones -,Hidráulica E Infraestructura,VILLA SOLDATI,2020-06-30
"Portón, chapas y corte de césped - Barrio Olímpico (mayo 20)",Hidráulica E Infraestructura,VILLA LUGANO,2020-05-31
"Rejas, alambrado y portón  Parque Olímpico (mayo 20)",Hidráulica E Infraestructura,VILLA LUGANO,2020-05-31
Mantenimiento Barrio Olímpico - julio 20,Hidráulica E Infraestructura,VILLA LUGANO,2020-07-31
Mantenimiento integral - abril -mayo y junio 20,Hidráulica E Infraestructura,VILLA LUGANO,2020-06-30
Redes cloacales - Complejo Habitacional Los Piletones (Julio-Dic. 2020),Hidráulica E Infraestructura,VILLA SOLDATI,2020-12-31
Mantenimiento mensual predio del estacionamiento ex Parque de la Ciudad,Hidráulica E Infraestructura,VILLA LUGANO,2021-09-10
Redes cloacales - Complejo Habitacional Los Piletones (Enero-Junio 2021),Hidráulica E Infraestructura,VILLA SOLDATI,2021-06-30
Reparación de sistema de iluminación en espacios comunes en C.H. 180 viviendas ,Hidráulica E Infraestructura,VILLA SOLDATI,2021-05-06
Construcción e Instalación de Acueducto para Alimentación del Barrio,Hidráulica e Infraestructura/ Espacio Público,RETIRO,2019-10-27
Infraestructura de Media Tensión,Hidráulica e Infraestructura/ Espacio Público,RETIRO,2019-10-31
EJECUCIÓN DE INFRAESTRUCTURA EN MANZANA 28 CON SUS ALREDEDORES,Hidráulica e Infraestructura/ Espacio Público,RETIRO,2023-10-13
Generacion de Aperturas de Calles y Nueva Calle N°14,Hidráulica e Infraestructura/ Espacio Público,RETIRO,2023-04-30
Conexiones Cloacales  Manzana 5  Calle Juan Pablo II entre Ana M. Janer y Plumerillo  Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2022-09-30
Reparación de Estación de Bombeo EB1 - Complejo Habitacional Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2022-11-25
Tendido de Red de Agua - Estadio - Parque Roca - Sector C,Hidráulica E Infraestructura,VILLA SOLDATI,2023-08-04
